业务板块,业务类型,序号,细分场景,内部处理办法及流程,对客话术,涉及反馈部门/微信群/工单模板,图片示例,,
售前业务,咨询类,4,客户线上自主办理ETC需要收费吗？,"黄牌/黄绿牌押金：238元；蓝牌/渐变绿牌押金：198元。
客服操作：
1.发送产品介绍图片；
2.发送申请设备流程；
3.发送自主激活视频，及激活后押金退回时效。
注：速通转换9901划扣产品客户，按以往流程走线下收押金邮寄设备。","【发送产品介绍】
您好！这是解悠ETC的产品介绍，方便您详细了解。如有需要新办ETC，请随时告知我们。
注：400客服则通过口述产品介绍后再按照以下流程执行（可发送点对点短信）。

【解悠ETC申办指引】
1.核对信息
您提交的办理人信息与车牌号码将与设备直接绑定，设备发出后无法修改，请务必仔细核对。

2.申请设备
方式一（推荐）：点击此链接观看申办视频并直接操作 → https://jieurl.cn/u/04147
方式二（文字步骤）：
① 微信搜索进入 “解悠货车服务”小程序
② 首页点击【申办ETC】→ 确认办理
③ 填写车牌号、收货信息 → 支付押金（设备免费，激活后退回）

3.发货查询
支付成功后，我们将在 3个工作日内 通过顺丰寄出设备（顺丰到付）。
您可在支付成功页面或小程序内查看顺丰单号。

【关于发货和物流查询】
支付成功后，我们会在3个工作日内通过顺丰寄出设备（运费到付）。您可以在支付成功页面或小程序内查看顺丰单号。

【温馨提示】
支付押金后，我们的回访专员会在当日14:00-16:30期间致电，与您确认是否需要工作人员提前帮您激活设备。

如果专员致电时未接通，我们会默认按原流程为您邮寄设备，请您放心。

物流单号可能会稍有延迟，暂时查不到是正常的，一般3个工作日内就会更新，建议您稍后再刷新查看。

【客户自主激活ETC指引】
1.激活操作
点击链接观看激活视频 → https://huoche.jieyoucloud.com/u/57Ed0

2.押金退还
激活成功后，您支付的押金将在 5-7个工作日内 自动原路退回至您的支付账户。
",/,,,
售前业务,咨询类,5,对客新办视频短链（扫码）,若客户反馈链接点击不了，则发送视频给客户。,"【新办ETC激活指南】

视频教程：请您点击以下链接，观看并按照视频流程操作即可轻松激活。

激活链接：https://huoche.jieyoucloud.com/u/57Ed0",/,,,
售前业务,咨询类,6,解悠支持哪些银行卡绑定？,,"【关于解悠绑定银行卡的说明】

您好，为了保障您的资金安全与便捷，解悠目前仅支持绑定储蓄卡（借记卡），暂不支持信用卡。

【目前已支持的银行包括：】
建设银行、农业银行、工商银行、邮政储蓄银行、中国银行、兴业银行、中信银行、平安银行、上海银行、浦发银行、民生银行、广发银行、华夏银行、北京银行、浙商银行、交通银行。",/,,,
售前业务,咨询类,7,客户提问：微信零钱能绑定吗？,/,"【关于解悠ETC支付方式的说明】

日常扣费：解悠ETC采用自动扣款，需绑定一张储蓄银行卡作为扣费账户，暂不支持微信零钱直接扣费。

逾期还款：若账单逾期，您可以进行主动还款。此时，您可以选择使用微信零钱进行支付。",/,,,
售前业务,咨询类,8,解悠ETC发行方是哪边？ETC如何查询车牌占用的具体发行方？,/,"【发行方信息】：解悠ETC的发行方是北京。

【办理信息查询】：目前我们后台未查询到该车牌的办理记录。建议您通过 “ETC通行宝” 微信小程序（路径：登录 → 首页 → 资格查询）进行精准查询，请确保车牌号和颜色输入无误。",/,,,
售前业务,咨询类,9,怎么确认车辆是几轴？,普货看几组轮胎，牵引车看车头几组轮胎。,"【车轴数填写指引】

车轴数需根据《行驶证》上“车辆类型”一栏来判断，具体方法如下：

若为“普通货车”：请查看车辆侧面的轮胎组数，有几组轮胎就是几轴车。

若为“牵引车”：请单独查看车头侧面的轮胎组数，有几组轮胎就是几轴牵引车。",/,"=DISPIMG(""ID_F634F5A7786E4653A8447805A8D6DF7B"",1)",,
售前业务,咨询类,10,怎么判定牵引车是几型货车,"通过客户行驶证副页“外形尺寸”来判断。
1.若外形尺寸小于6000mm，需要填写总质量值。
2.2轴牵引车总质量1.8W，3轴牵引车总质量2.5W。","【牵引车车型判定指南】

您好，牵引车的车型判定需依据《行驶证》副页的“外形尺寸”与“总质量”信息，请遵循以下流程：

第一步：查看“外形尺寸”长度

若长度小于6000mm，且 无“总质量” 信息，则判定为 一型货车。

若长度大于6000mm，且 无“总质量” 信息，则判定为 二型货车。

第二步：特殊情况核对

若车辆长度小于6000mm，则需根据规定填写 “总质量” 值进行辅助判断。

重要提示：根据高速通行规定，牵引车仅对应 二型、三型货车。若初步判断为一型，请务必核对总质量或联系解悠客服确认。",/,"=DISPIMG(""ID_54E82F2F12ED4AFF829CD38A4B72084E"",1)",,
售前业务,咨询类,11,速通1101新办过程中，客户提问：车轮数我应该怎么填写？,"引导客户提供行驶证以判断车辆类型：
①若为牵引车，只填车头车轮数；
②若为普通货车，按照实际车轮数填写。","【初步诊断与询问】

您好，请您提供一下行驶证照片，帮您确认车辆类型。

【根据证件核实结果提供解决方案】

情况一：牵引车

您好，核实您的行驶证显示的是牵引车，牵引车轮数只填车头的车轮数。

情况二：普通货车

您好，核实您的行驶证显示的是普通货车，普通货车按实际车轮数填写。",,,,
售前业务,咨询类,12,货车上高速是否要称重？,/,"根据高速公路管理规定，除客车外，所有货车（包含专项作业车等特种车辆）在上高速前，均需接受过磅称重。

如遇收费站未设置地磅，请您选择通行“ETC/人工”混合车道，并听从现场工作人员的指引。",/,,,
售前业务,咨询类,13,重型车辆运输车如何办理？,"行驶证副页标注“准牵引值”，但车辆类型非“重型半挂牵引车”的车型（如“重型车辆运输车”）按牵引车办理，其车轴数依据车头的总轴数进行填写，不计挂数。
注：在新办时，识别的车辆类型无法通过，则需要客户在[车辆类型]后缀手动添加[牵引车]字眼。","【重型车辆运输车办理指南】

办理类型：行驶证上“车辆类型”为 “重型车辆运输车” 的，应按 牵引车 进行ETC办理。

车轴数填写：车轴数应依据 车头部分的总轴数 进行填写，不计入后方挂车的车轴数。",/,,,
售前业务,咨询类,14,新办未激活绑定信用卡（暂停维护）,首先点击[微信支付]渠道，先绑定一张非工农建的储蓄卡，再绑定想要扣款的信用卡。,"【支付设置指引】

请您按以下步骤完成支付设置：

首选微信支付：在支付方式中，请选择“微信支付”。

绑定储蓄卡：请先绑定一张非工、农、建行的储蓄卡作为验证。

设置信用卡：最后，再绑定您希望用于扣款的信用卡即可。",/,,,
售前业务,咨询类,15,为什么办你们ETC，办理人员会另外收费？,"1.联系解悠客服线上申请设备邮寄办理，除运费外没有其它的费用收取；
2.在线下由工作人员协助安装，工作人员会协商收取手工安装费用，该费用是未缴到解悠公司的。","您好，非常感谢您使用我们的平台。

我们在此郑重说明：通过我司平台自主申请ETC是完全免费的。如果您在安装环节产生了费用，这并非我司收取，而是协助您安装的工作人员可能收取的服务费。

因此，关于这笔费用的具体问题，建议您直接联系为您办理业务的工作人员进行核实和沟通。希望这个说明能帮助到您！",/,,,
售前业务,咨询类,16,解悠货车服务小程序支持多个设备/密码登陆吗？,解悠货车服务小程序支持账号密码登陆及多人多设备（上限5个设备）同时登陆一个账号。,"【解悠货车服务小程序密码登录指南】

1、登录方式：支持账号密码登录。

2、多设备登录：支持最多5个设备同时登录同一账号。

【首次设置密码操作步骤】

1、首次登录：如果您未设置过密码，请先使用 “微信快捷登录” 或 “手机号验证码登录” 进入小程序。

2、找到入口：登录成功后，点击底部导航栏的 【我的】 ，在页面上方找到您的 手机号。

3、设置密码：在 手机号下方，即可找到 “设置密码” 的入口，按提示操作即可完成设置。",/,,,
售前业务,咨询类,17,解悠货车服务小程序忘记登陆密码，如何重置密码,/,"【忘记密码重置指南】

您好，忘记密码不用担心，请按以下步骤重置：

首先验证身份：请您先使用 【微信快捷登录】 或 【手机号验证码登录】 的方式成功进入小程序。

然后重置密码：登录成功后，请点击右下角 【我的】 ，在页面上方 手机号下方 即可找到 【设置密码】 入口，在此处重设您的新密码即可。",/,,,
售前业务,咨询类,18,解悠注销的设备可以二次发行吗？,解悠注销的设备不支持二次发行。,"【关于旧ETC设备的处理说明】

设备一旦办理注销或从车辆上更换下来，将立即失效，无法再次激活使用。

为确保您的账户安全并完成注销流程，请您对旧设备进行妥善回收，并统一邮寄回我司。感谢您的理解与支持！",/,,,
售前业务,咨询类,19,设备如何确认是否有电,"单片式：双击设备按钮
双片式：快速插拔两次
绿灯代表有电量，红灯代表设备电量低，正常设备使用支持10000次交易，充电时间会比较长，大概3至4个小时。
注：解悠设备支持太阳能、typeC接口充电方式。","【设备电量自检与充电指南】

您可以通过拔插设备卡，根据指示灯判断设备电量状态：

亮绿灯，显示“记账卡”：表示设备电量充足，可正常使用。

亮红灯，显示“电压低/电量低”：表示设备电量不足，需要充电。

充电方法：请使用Type-C接口数据线为设备充电3至4小时，即可恢复正常使用。",/,,,
售前业务,咨询类,20,解悠有卡设备蓝牙怎么打开？,/,"【开启设备蓝牙操作指南】

请您按照以下步骤操作：

1、将设备中的ETC卡片【拔出一半】。

2、然后，【连续、快速地将卡片插拔两次】。

3、操作完成后，请确保卡片【依然保持在设备中】。

4、此时，观察设备屏幕，若显示 “蓝牙打开” ，即表示蓝牙已成功开启。",/,,,
售前业务,咨询类,21,支持公司户绑定扣费吗？,/,"【公户ETC账单管理说明】

解悠ETC在激活时，需完成个人身份信息与银行卡的绑定。

待您的设备激活成功后，为方便公户管理，您可【开通解悠钱包功能】，即可申请对公账户进行充值，并划扣ETC通行账单。",/,,,
售前业务,咨询类,22,客户提问：进入解悠小程序的广告能关闭吗？,/,"非常抱歉给您带来了不好的体验！

您看到的广告页面是由微信平台提供的展示，并非解悠的合作商家。目前，包括其他ETC小程序在内的许多微信小程序，大多都会有类似的广告弹窗。

您可以直接点击广告弹窗左上角的 “跳过” 按钮即可关闭。感谢您的理解与耐心！",/,,,
售前业务,咨询类,23,怎么成为解悠ETC/解悠充电的代理？,"1.收集客户信息
客服向客户获取信息：姓名、联系电话、意向代理地区（省/市）

2.内部流转

①客服将收集到的信息通过微信/企业微信发送给当日在班组长。

②班组长收到后，将信息转发给市场部对接人。

3.市场部对接

市场部收到信息后，直接联系客户，沟通代理合作具体事宜。",您好，想成为代理需要您提供姓名、电话和意向代理地区。我帮您提交市场部，他们会联系您，详细沟通合作细节。,/,,,
售前业务,咨询类,24,代理提问：如何新办、客户需要添加车辆,/,"【关于新增车辆办理ETC的说明】

尊敬的客户，您好！

目前解悠ETC业务全面采用线上自主办理模式。若您需为新增车辆办理ETC，可联系我司，我们将为您邮寄专用设备，并全程协助您完成线上的自主激活与绑定。",/,,,
售前业务,咨询类,25,客户提问：为什么ETC也能在国道和部分停车场进行扣费,/,"【关于ETC应用场景与折扣的说明】

应用场景：ETC目前已从高速公路，扩展至部分国道、停车场、加油站及服务区等，为您提供快速通行的便利。

折扣规则：请注意，【只有在通行高速公路时才能享受通行费折扣】，其他扩展场景暂不参与折扣，但您依然可以享受“无感支付”的便捷体验。",/,,,
售前业务,咨询类,26,我退订了解悠通知短信，如何恢复？,"1. 引导客户按以下要求自行编辑短信并发送至指定号码：
编辑内容：本人手机号码（1xxxxxxxxx）愿意接收【解悠数字科技】下发的短信，保证不投诉及退订，特申请开通【解悠数字科技】下发的短信。
2. 根据客户手机号运营商，发送至对应号码：
　· 移动用户：10694782
　· 联通用户：10685842
　· 电信用户：10693838
3. 客户发送成功后，截图发送至在线客服或官方企微
4. 客服将截图反馈至支持岗（吴丛）
5. 支持岗为客户操作恢复短信接收功能
6. 客服将恢复结果同步客户","【第一步：询问手机号类型】
您好，请问您需要恢复接收短信的手机号，是您办理ETC时预留的手机号，还是其他手机号呢？

【第二步：根据客户回答回复】

情况一：是办理ETC时预留的手机号

好的，请您使用该手机号编辑短信：
本人手机号码愿意接收【解悠数字科技】下发的短信，保证不投诉及退订，特申请开通【解悠数字科技】下发的短信。
根据您的手机运营商，将短信发送至对应号码：
移动用户发送至 10694782
联通用户发送至 10685842
电信用户发送至 10693838
发送成功后，请将发送成功的截图提供给我们为您提交处理。
温馨提示：恢复后请留意不再退订，以免再次影响接收。

【情况二：不是办理ETC时预留的手机号】
您好，您提供的手机号非办理ETC时预留的号码，无法开通接收解悠公司的通知短信。
如果您需要接收解悠的通知短信，建议您使用办理ETC时预留的手机号申请恢复。
如您有其他问题，可随时联系我们，感谢您的理解与配合！",,,,
售前业务,咨询类,27,安装ETC后，进停车场如何避免扫上ETC？,/,"【ETC停车场账单管理指南】

若您希望避免ETC在停车场等场景自动扣费，可通过高速小程序临时停用，操作步骤如下：

【停用步骤】（进入停车场前操作）

1.打开微信，搜索并进入 “中国ETC服务” 小程序。

2.点击首页的 【ETC服务】。

3.在功能列表中找到并点击 【停用】 即可。

【启用步骤】（离开停车场后操作）

1.再次进入 “中国ETC服务” 小程序。

2.点击 【ETC服务】 。

3.点击 【启用】 ，功能将立即恢复。

【重要提示】

1.ETC停用后，需等待【至少15分钟】方可再次操作启用，请您提前规划。

2.在操作【停用】与【启用】时需要连接蓝牙（手机蓝牙，设备蓝牙打开：快速插拔卡两次设备蓝牙打开）",/,,,
售前业务,咨询类,1,满帮新办提示“解悠****手机号已被满帮****账号绑定，无法重复绑定，请更换手机号开卡”,该报错需要满帮工作人员反馈至其满帮技术解除绑定关系后，再次办理。,您好，该报错需要您反馈至贵方的技术申请解绑关系后再次申办解悠ETC。,/,,,
售前业务,咨询类,2,满帮新办提示“用户信息不匹配”,"1.查询路网完整开户信息核实是否与后台的发行方手机号是否一致；
（收集客户信息手机号、身份证号码，反馈客服组长查询并核实）
1.1若不一致，受理坐席需要在客户列表→发行方的手机号修改为与路网查询的开户手机号一致，再让客户操作办理。
1.2若一致，则收集客户办理手机号、报错页面截图流转工单至【客服组长】。","一、【发起查询（通用话术）】
您好，请您提供一下办理时使用的手机号、车牌号，并需要您配合提供身份证件照片，以便我们提交后台进行详细核查。

查询到结果后，我们会第一时间主动告知您，请您放心并耐心等待。

二、【根据查询结果进行回复】
2.1 情况一：信息不一致


您好，查询到需要后台为您更新手机号，请您稍等片刻，处理完成后会立即通知您。

2.2 情况二：信息一致

此报错需要为您提交至技术部门进行深度排查。一旦有最新进展，我们会第一时间告知您，非常感谢您的耐心等待。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,3,报错提示“请完成实名认证”,需要让客户在“解悠货车服务”重置实名即可。,"【实名认证重置操作指南】

您好，您遇到的报错需要通过重置实名认证来解决。

请您按以下路径操作：

1.打开微信，进入 【解悠货车服务】小程序。

2.点击底部导航栏的 【我的】 。

3.在页面中找到并点击 【实名认证】。

4.进入后，请选择 【重置实名】 → 【立即认证】。

请您根据页面提示完成新的认证流程，成功后即可继续办理您的业务。",/,,,
售前业务,新办实名报错,4,报错提示“accountld：must not beblank”,"1.前往“中国ETC服务”小程序实名重置实名后再继续办理；
2.若步骤一操作之后还是有该报错，需要反馈至“网路智联群”核实处理。","您好，您遇到的报错需要通过“中国ETC服务”小程序重置实名信息来解决。请您按顺序操作：

第一步：重置状态

1.由开户人登录 “中国ETC服务” 小程序。

2.点击右下角 【我的】 → 再点击页面右上角的 【螺母/设置图标】。

3.找到并点击 【重置实名状态】。

第二步：更换登录账号

1.再次点击 【我的】 → 【设置】。

2.点击 【退出登录】。

第三步：重新登录认证

1.返回小程序首页，点击左上角 【请登录】。

2.选择 【手机号快捷登录】 → 【添加新号码】 进行登录。

3.最后根据页面提示完成 【实名认证】。

温馨提示：若完成以上所有步骤后问题依旧，请您及时反馈给我们，我们将为您进一步排查。",路网（网路智联→解悠数科货车ETC售后沟通）,"=DISPIMG(""ID_C6A22D26B02343439F039F4BE0D60387"",1)",,
售前业务,新办实名报错,4,报错提示“网络不给力，请稍后再试”,"1.原因：是微信小程序官方存在的网络请求解析问题导致。
2.处理方法：请客户手机开一下飞行模式重置一下网络，然后再试试。","【网络重置操作指南】

您好，您遇到的报错可能是由于网络缓存导致。请您按以下步骤操作：

请您先打开手机的 【飞行模式】。

等待约 5秒钟 后，再关闭飞行模式，以重置网络连接。

网络恢复后，请完全关闭微信后台，再重新进入 “解悠货车服务”小程序 即可继续操作。",/,"=DISPIMG(""ID_149089C507C3496E97C68AFD161365E1"",1)",,
售前业务,新办实名报错,5,报错提示“该车辆暂时不可办理”,收集客户信息（姓名、手机号、车牌号），及报错页面截图走CRM工单至【客服组长】受理。,"您好，此报错需要您提供车牌号及完整的报错页面截图，以便我们提交至相关部门进行核查。

我们会在收到回复后的第一时间主动告知您，感谢您的耐心等待与配合。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,6,报错提示“请联系客服解除黑名单后继续办理”,"收集客户信息在CRM后台“拉黑记录”进行查询。
1.新办出现该报错一般都是客户新增车辆，名下其它车辆有逾期账单进入黑名单。
2.若黑名单备注“风控黑名单”此原因，客户无法再次办理解悠产品。","【情况一：需查询信息】
您好，请您提供一下办理时使用的手机号，我们需要为您在后台进行详细查询。
查询到结果后，我们会第一时间主动告知您，请您放心并耐心等待。

【情况二：因逾期进入黑名单】
您好，我们已为您核实。由于您名下存在ETC逾期账单并已进入黑名单状态，需要您先结清所有逾期账单，之后才能重新申请办理新的ETC业务。

【情况三：逾期过久，永久禁止申办】
非常抱歉，由于您的ETC账单逾期时间过长，系统基于综合风险评估，已限制该设备的使用权限。目前我们能为您提供的服务是办理注销。注销完成后，您可以选择申请办理其他ETC产品。

",/,"=DISPIMG(""ID_17BA88E0801F41DE95BECD85560AD67F"",1)",,
售前业务,新办实名报错,7,报错提示“登录用户不存在，请重新登录”,"1.前往“中国ETC服务”小程序实名重置实名；
2.“解悠货车服务”小程序→我的→实名认证→重置实名→立即认证，认证成功之后再继续办理。","您好，您遇到的报错需要通过以下流程重置实名信息来解决，请您按顺序操作：

第一部分：在“中国ETC服务”小程序操作

重置状态：由开户人登录 “中国ETC服务” 小程序，点击【我的】→ 右上角【设置图标】→ 【重置实名状态】。

退出登录：再次进入【我的】→ 【设置】→ 点击 【退出登录】。

重新认证：返回首页，点击左上角【请登录】→ 【手机号快捷登录】 → 【添加新号码】 登录后，根据提示完成实名认证。

第二部分：在“解悠货车服务”小程序操作
完成上方操作后，请进入 “解悠货车服务” 小程序，点击【我的】→ 【实名认证】 → 【重置实名】 → 【立即认证】，完成认证后即可继续办理。",/,,,
售前业务,新办实名报错,8,报错提示“用户信息不存在”,"1.引导客户客户前往“中国ETC服务”小程序重置实名后再继续操作新办；
2.若步骤一尝试无果，则需要提供客户信息(收集客户信息手机号、身份证号码）至客服组长查询路网开户信息，同时创建工单至【客服组长】进行排查。","您好，您遇到的报错需要通过“中国ETC服务”小程序重置实名信息来解决。请您按顺序操作:
第一步:重置状态
1.由开户人登录 “中国ETC服务” 小程序。
2.点击右下角 【我的】- 再点击页面右上角的 【螺母/设置图标】
3.找到并点击 【重置实名状态】
第二步:更换登录账号
1.再次点击 【我的】 → 【设置】。
2.点击 【【退出登录】
第三步:重新登录认证
1.返回小程序首页，点击左上角 【请登录】
2.选择 【手机号快捷登录】 → 【添加新号码】 进行登录。
3.最后根据页面提示完成 【实名认证】
请您按照以上步骤，完成实名认证后再继续尝试新办，若完成以上所有步骤后问题依旧，请您及时反馈给我们，我们将为您进一步排查。",工单类型【9901划扣问题】,,,
售前业务,新办实名报错,9,报错提示“身份信息异常，请联系客服处理”,"1.查询路网完整开户信息核实是否与后台办理信息是否一致；
（收集客户信息手机号、身份证号码，反馈客服组长查询并核实）
2.若不一致，如姓名识别错误，客户自行前往“中国ETC服务”小程序重置实名，或发邮件后反馈路网群修改。
2.1修改开户人信息邮件涉及邮箱：etc_xuanzhuang@163.com
模板：贾xx，134xxxx0045，晋J12345F，黄绿牌，身份证件照。
3.若一致，反馈至群内提示截图及办理信息流转工单至【客服组长】。","一、发起查询（通用话术）
您好，请您提供一下办理时使用的手机号、车牌号，并需要您配合提供身份证件照片，以便我们提交后台进行详细核查。

查询到结果后，我们会第一时间主动告知您，请您放心并耐心等待。

二、根据查询结果进行回复
2.1 情况一：路网实名信息错误（需客户自行操作）

我们已为您核实，此问题是由于路网中心的实名信息记录有误导致的。

请您按以下步骤在官方小程序中修正信息：

重置状态：由开户人登录 “中国ETC服务” 小程序，点击【我的】→ 右上角【设置图标】→ 【重置实名状态】。

更换登录：再次进入【我的】→ 【设置】→ 点击 【退出登录】。

重新认证：返回首页，点击左上角【请登录】→ 【手机号快捷登录】 → 【添加新号码】 登录后，根据提示完成实名认证。

完成后即可恢复正常办理。

2.2 情况二：客户操作后仍未成功（需升级处理）

我们理解您已按要求操作。经再次核查，确认仍是路网实名信息错误。

此问题目前已超出自行处理范围，我们已为您加急反馈至技术部门进行人工修改。修改完成后我们会第一时间主动通知您，感谢您的耐心等待。

2.3 情况三：其他未知报错（需技术排查）

您遇到的报错原因较为特殊。我们已为您详细记录，并提交至技术部门进行专项排查。一有回复我们会立即告知，请您放心，感谢您的耐心配合。","1.路网（网路智联→解悠数科货车ETC售后沟通）
2.工单类型【9901划扣问题】",,,
售前业务,新办实名报错,10,报错提示：“用户数据已存在中心，且手机号与此次申请不同，请用原中心注册手机号”,"1.收集客户信息(手机号、身份证号码）提供至组长核实路网开户信息是否一致。

1.1若不一致：引导客户前往“中国ETC服务”小程序重置实名信息后，重新尝试办理。

1.2若一致，但客户反复实名仍无法办理：协助客户取消当前订单，重新发起办理流程。

2.若以上操作仍无法解决，需收集客户身份证正反面照片，创建工单至【客服组长】核实是否为垃圾数据。

2.1产品部处理完毕后，会将结果反馈至客服，由客服同步客户，并引导其重新尝试操作。","一、发起查询（通用话术）
您好，请您提供一下办理时使用的手机号、车牌号，并需要您配合提供身份证件照片，以便我们提交后台进行详细核查。

查询到结果后，我们会第一时间主动告知您，请您放心并耐心等待。

二、根据查询结果进行回复
2.1 情况一：路网实名信息错误（需客户自行操作）

我们已为您核实，此问题是由于路网中心的实名信息记录有误导致的。

请您按以下步骤在官方小程序中修正信息：

重置状态：由开户人登录 “中国ETC服务” 小程序，点击【我的】→ 右上角【设置图标】→ 【重置实名状态】。

更换登录：再次进入【我的】→ 【设置】→ 点击 【退出登录】。

重新认证：返回首页，点击左上角【请登录】→ 【手机号快捷登录】 → 【添加新号码】 登录后，根据提示完成实名认证。

完成后即可恢复正常办理。

2.3 情况二：仍无法办理（需技术排查）

您遇到的报错原因较为特殊。我们已为您详细记录，并提交至技术部门进行专项排查。一有回复我们会立即告知，请您放心，感谢您的耐心配合。",工单类型【9901划扣问题】,,,
